0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,
0.012500 0.000000 0.000000,1.525000 0.000000 0.000000,3.037500 0.000000 0.000000,4.550000 0.000000 0.000000,6.062500 0.000000 0.000000,7.575000 0.000000 0.000000,9.087500 0.000000 0.000000,
0.025000 -0.012500 -0.012500,1.250000 -0.625000 -0.625000,2.475000 -1.237500 -1.237500,3.700000 -1.850000 -1.850000,4.925000 -2.462500 -2.462500,6.150000 -3.075000 -3.075000,7.375000 -3.687500 -3.687500,8.600000 -4.300000 -4.300000,9.825000 -4.912500 -4.912500,
0.025000 -0.012500 0.000000,1.375000 -0.687500 0.000000,2.725000 -1.362500 0.000000,4.075000 -2.037500 0.000000,5.425000 -2.712500 0.000000,6.775000 -3.387500 0.000000,8.125000 -4.062500 0.000000,9.475000 -4.737500 0.000000,
0.025000 -0.012500 0.012500,1.250000 -0.625000 0.625000,2.475000 -1.237500 1.237500,3.700000 -1.850000 1.850000,4.925000 -2.462500 2.462500,6.150000 -3.075000 3.075000,7.375000 -3.687500 3.687500,8.600000 -4.300000 4.300000,9.825000 -4.912500 4.912500,
0.025000 0.000000 -0.012500,1.375000 0.000000 -0.687500,2.725000 0.000000 -1.362500,4.075000 0.000000 -2.037500,5.425000 0.000000 -2.712500,6.775000 0.000000 -3.387500,8.125000 0.000000 -4.062500,9.475000 0.000000 -4.737500,
0.025000 0.000000 0.000000,1.525000 0.000000 0.000000,3.025000 0.000000 0.000000,4.525000 0.000000 0.000000,6.025000 0.000000 0.000000,7.525000 0.000000 0.000000,9.025000 0.000000 0.000000,
0.025000 0.000000 0.012500,1.375000 0.000000 0.687500,2.725000 0.000000 1.362500,4.075000 0.000000 2.037500,5.425000 0.000000 2.712500,6.775000 0.000000 3.387500,8.125000 0.000000 4.062500,9.475000 0.000000 4.737500,
0.025000 0.012500 -0.012500,1.250000 0.625000 -0.625000,2.475000 1.237500 -1.237500,3.700000 1.850000 -1.850000,4.925000 2.462500 -2.462500,6.150000 3.075000 -3.075000,7.375000 3.687500 -3.687500,8.600000 4.300000 -4.300000,9.825000 4.912500 -4.912500,
0.025000 0.012500 0.000000,1.375000 0.687500 0.000000,2.725000 1.362500 0.000000,4.075000 2.037500 0.000000,5.425000 2.712500 0.000000,6.775000 3.387500 0.000000,8.125000 4.062500 0.000000,9.475000 4.737500 0.000000,
0.025000 0.012500 0.012500,1.250000 0.625000 0.625000,2.475000 1.237500 1.237500,3.700000 1.850000 1.850000,4.925000 2.462500 2.462500,6.150000 3.075000 3.075000,7.375000 3.687500 3.687500,8.600000 4.300000 4.300000,9.825000 4.912500 4.912500,
0.037500 -0.025000 -0.025000,1.162500 -0.775000 -0.775000,2.287500 -1.525000 -1.525000,3.412500 -2.275000 -2.275000,4.537500 -3.025000 -3.025000,5.662500 -3.775000 -3.775000,6.787500 -4.525000 -4.525000,7.912500 -5.275000 -5.275000,9.037500 -6.025000 -6.025000,
0.037500 -0.025000 -0.012500,1.275000 -0.850000 -0.425000,2.512500 -1.675000 -0.837500,3.750000 -2.500000 -1.250000,4.987500 -3.325000 -1.662500,6.225000 -4.150000 -2.075000,7.462500 -4.975000 -2.487500,8.700000 -5.800000 -2.900000,9.937500 -6.625000 -3.312500,
0.037500 -0.025000 0.000000,1.312500 -0.875000 0.000000,2.587500 -1.725000 0.000000,3.862500 -2.575000 0.000000,5.137500 -3.425000 0.000000,6.412500 -4.275000 0.000000,7.687500 -5.125000 0.000000,8.962500 -5.975000 0.000000,
0.037500 -0.025000 0.012500,1.275000 -0.850000 0.425000,2.512500 -1.675000 0.837500,3.750000 -2.500000 1.250000,4.987500 -3.325000 1.662500,6.225000 -4.150000 2.075000,7.462500 -4.975000 2.487500,8.700000 -5.800000 2.900000,9.937500 -6.625000 3.312500,
0.037500 -0.025000 0.025000,1.162500 -0.775000 0.775000,2.287500 -1.525000 1.525000,3.412500 -2.275000 2.275000,4.537500 -3.025000 3.025000,5.662500 -3.775000 3.775000,6.787500 -4.525000 4.525000,7.912500 -5.275000 5.275000,9.037500 -6.025000 6.025000,
0.037500 -0.012500 -0.025000,1.275000 -0.425000 -0.850000,2.512500 -0.837500 -1.675000,3.750000 -1.250000 -2.500000,4.987500 -1.662500 -3.325000,6.225000 -2.075000 -4.150000,7.462500 -2.487500 -4.975000,8.700000 -2.900000 -5.800000,9.937500 -3.312500 -6.625000,
0.037500 -0.012500 -0.012500,1.425000 -0.475000 -0.475000,2.812500 -0.937500 -0.937500,4.200000 -1.400000 -1.400000,5.587500 -1.862500 -1.862500,6.975000 -2.325000 -2.325000,8.362500 -2.787500 -2.787500,9.750000 -3.250000 -3.250000,
0.037500 -0.012500 0.000000,1.462500 -0.487500 0.000000,2.887500 -0.962500 0.000000,4.312500 -1.437500 0.000000,5.737500 -1.912500 0.000000,7.162500 -2.387500 0.000000,8.587500 -2.862500 0.000000,
0.037500 -0.012500 0.012500,1.425000 -0.475000 0.475000,2.812500 -0.937500 0.937500,4.200000 -1.400000 1.400000,5.587500 -1.862500 1.862500,6.975000 -2.325000 2.325000,8.362500 -2.787500 2.787500,9.750000 -3.250000 3.250000,
0.037500 -0.012500 0.025000,1.275000 -0.425000 0.850000,2.512500 -0.837500 1.675000,3.750000 -1.250000 2.500000,4.987500 -1.662500 3.325000,6.225000 -2.075000 4.150000,7.462500 -2.487500 4.975000,8.700000 -2.900000 5.800000,9.937500 -3.312500 6.625000,
0.037500 0.000000 -0.025000,1.312500 0.000000 -0.875000,2.587500 0.000000 -1.725000,3.862500 0.000000 -2.575000,5.137500 0.000000 -3.425000,6.412500 0.000000 -4.275000,7.687500 0.000000 -5.125000,8.962500 0.000000 -5.975000,
0.037500 0.000000 -0.012500,1.462500 0.000000 -0.487500,2.887500 0.000000 -0.962500,4.312500 0.000000 -1.437500,5.737500 0.000000 -1.912500,7.162500 0.000000 -2.387500,8.587500 0.000000 -2.862500,
0.037500 0.000000 0.000000,1.575000 0.000000 0.000000,3.112500 0.000000 0.000000,4.650000 0.000000 0.000000,6.187500 0.000000 0.000000,7.725000 0.000000 0.000000,9.262500 0.000000 0.000000,
0.037500 0.000000 0.012500,1.462500 0.000000 0.487500,2.887500 0.000000 0.962500,4.312500 0.000000 1.437500,5.737500 0.000000 1.912500,7.162500 0.000000 2.387500,8.587500 0.000000 2.862500,
