0.007500 0.000000 0.000000,1.140000 0.000000 0.000000,2.272500 0.000000 0.000000,3.405000 0.000000 0.000000,4.537500 0.000000 0.000000,5.670000 0.000000 0.000000,6.802500 0.000000 0.000000,7.935000 0.000000 0.000000,9.067500 0.000000 0.000000,
0.015000 -0.007500 -0.007500,1.245000 -0.622500 -0.622500,2.475000 -1.237500 -1.237500,3.705000 -1.852500 -1.852500,4.935000 -2.467500 -2.467500,6.165000 -3.082500 -3.082500,7.395000 -3.697500 -3.697500,8.625000 -4.312500 -4.312500,9.855000 -4.927500 -4.927500,
0.015000 -0.007500 0.000000,1.365000 -0.682500 0.000000,2.715000 -1.357500 0.000000,4.065000 -2.032500 0.000000,5.415000 -2.707500 0.000000,6.765000 -3.382500 0.000000,8.115000 -4.057500 0.000000,9.465000 -4.732500 0.000000,
0.015000 -0.007500 0.007500,1.245000 -0.622500 0.622500,2.475000 -1.237500 1.237500,3.705000 -1.852500 1.852500,4.935000 -2.467500 2.467500,6.165000 -3.082500 3.082500,7.395000 -3.697500 3.697500,8.625000 -4.312500 4.312500,9.855000 -4.927500 4.927500,
0.015000 0.000000 -0.007500,1.365000 0.000000 -0.682500,2.715000 0.000000 -1.357500,4.065000 0.000000 -2.032500,5.415000 0.000000 -2.707500,6.765000 0.000000 -3.382500,8.115000 0.000000 -4.057500,9.465000 0.000000 -4.732500,
0.015000 0.000000 0.000000,1.515000 0.000000 0.000000,3.015000 0.000000 0.000000,4.515000 0.000000 0.000000,6.015000 0.000000 0.000000,7.515000 0.000000 0.000000,9.015000 0.000000 0.000000,
0.015000 0.000000 0.007500,1.365000 0.000000 0.682500,2.715000 0.000000 1.357500,4.065000 0.000000 2.032500,5.415000 0.000000 2.707500,6.765000 0.000000 3.382500,8.115000 0.000000 4.057500,9.465000 0.000000 4.732500,
0.015000 0.007500 -0.007500,1.245000 0.622500 -0.622500,2.475000 1.237500 -1.237500,3.705000 1.852500 -1.852500,4.935000 2.467500 -2.467500,6.165000 3.082500 -3.082500,7.395000 3.697500 -3.697500,8.625000 4.312500 -4.312500,9.855000 4.927500 -4.927500,
0.015000 0.007500 0.000000,1.365000 0.682500 0.000000,2.715000 1.357500 0.000000,4.065000 2.032500 0.000000,5.415000 2.707500 0.000000,6.765000 3.382500 0.000000,8.115000 4.057500 0.000000,9.465000 4.732500 0.000000,
0.015000 0.007500 0.007500,1.245000 0.622500 0.622500,2.475000 1.237500 1.237500,3.705000 1.852500 1.852500,4.935000 2.467500 2.467500,6.165000 3.082500 3.082500,7.395000 3.697500 3.697500,8.625000 4.312500 4.312500,9.855000 4.927500 4.927500,
0.022500 -0.015000 -0.015000,1.125000 -0.750000 -0.750000,2.227500 -1.485000 -1.485000,3.330000 -2.220000 -2.220000,4.432500 -2.955000 -2.955000,5.535000 -3.690000 -3.690000,6.637500 -4.425000 -4.425000,7.740000 -5.160000 -5.160000,8.842500 -5.895000 -5.895000,
0.022500 -0.015000 -0.007500,1.237500 -0.825000 -0.412500,2.452500 -1.635000 -0.817500,3.667500 -2.445000 -1.222500,4.882500 -3.255000 -1.627500,6.097500 -4.065000 -2.032500,7.312500 -4.875000 -2.437500,8.527500 -5.685000 -2.842500,9.742500 -6.495000 -3.247500,
0.022500 -0.015000 0.000000,1.282500 -0.855000 0.000000,2.542500 -1.695000 0.000000,3.802500 -2.535000 0.000000,5.062500 -3.375000 0.000000,6.322500 -4.215000 0.000000,7.582500 -5.055000 0.000000,8.842500 -5.895000 0.000000,
0.022500 -0.015000 0.007500,1.237500 -0.825000 0.412500,2.452500 -1.635000 0.817500,3.667500 -2.445000 1.222500,4.882500 -3.255000 1.627500,6.097500 -4.065000 2.032500,7.312500 -4.875000 2.437500,8.527500 -5.685000 2.842500,9.742500 -6.495000 3.247500,
0.022500 -0.015000 0.015000,1.125000 -0.750000 0.750000,2.227500 -1.485000 1.485000,3.330000 -2.220000 2.220000,4.432500 -2.955000 2.955000,5.535000 -3.690000 3.690000,6.637500 -4.425000 4.425000,7.740000 -5.160000 5.160000,8.842500 -5.895000 5.895000,
0.022500 -0.007500 -0.015000,1.237500 -0.412500 -0.825000,2.452500 -0.817500 -1.635000,3.667500 -1.222500 -2.445000,4.882500 -1.627500 -3.255000,6.097500 -2.032500 -4.065000,7.312500 -2.437500 -4.875000,8.527500 -2.842500 -5.685000,9.742500 -3.247500 -6.495000,
0.022500 -0.007500 -0.007500,1.395000 -0.465000 -0.465000,2.767500 -0.922500 -0.922500,4.140000 -1.380000 -1.380000,5.512500 -1.837500 -1.837500,6.885000 -2.295000 -2.295000,8.257500 -2.752500 -2.752500,9.630000 -3.210000 -3.210000,
0.022500 -0.007500 0.000000,1.462500 -0.487500 0.000000,2.902500 -0.967500 0.000000,4.342500 -1.447500 0.000000,5.782500 -1.927500 0.000000,7.222500 -2.407500 0.000000,8.662500 -2.887500 0.000000,
