0.037500 0.025000 -0.012500,1.650000 1.100000 -0.550000,3.262500 2.175000 -1.087500,4.875000 3.250000 -1.625000,6.487500 4.325000 -2.162500,8.100000 5.400000 -2.700000,9.712500 6.475000 -3.237500,
0.037500 0.025000 0.000000,1.725000 1.150000 0.000000,3.412500 2.275000 0.000000,5.100000 3.400000 0.000000,6.787500 4.525000 0.000000,8.475000 5.650000 0.000000,
0.037500 0.025000 0.012500,1.650000 1.100000 0.550000,3.262500 2.175000 1.087500,4.875000 3.250000 1.625000,6.487500 4.325000 2.162500,8.100000 5.400000 2.700000,9.712500 6.475000 3.237500,
0.037500 0.025000 0.025000,1.500000 1.000000 1.000000,2.962500 1.975000 1.975000,4.425000 2.950000 2.950000,5.887500 3.925000 3.925000,7.350000 4.900000 4.900000,8.812500 5.875000 5.875000,
0.050000 -0.025000 -0.025000,1.700000 -0.850000 -0.850000,3.350000 -1.675000 -1.675000,5.000000 -2.500000 -2.500000,6.650000 -3.325000 -3.325000,8.300000 -4.150000 -4.150000,9.950000 -4.975000 -4.975000,
0.050000 -0.025000 -0.012500,1.800000 -0.900000 -0.450000,3.550000 -1.775000 -0.887500,5.300000 -2.650000 -1.325000,7.050000 -3.525000 -1.762500,8.800000 -4.400000 -2.200000,
0.050000 -0.025000 0.000000,1.850000 -0.925000 0.000000,3.650000 -1.825000 0.000000,5.450000 -2.725000 0.000000,7.250000 -3.625000 0.000000,9.050000 -4.525000 0.000000,
0.050000 -0.025000 0.012500,1.800000 -0.900000 0.450000,3.550000 -1.775000 0.887500,5.300000 -2.650000 1.325000,7.050000 -3.525000 1.762500,8.800000 -4.400000 2.200000,
0.050000 -0.025000 0.025000,1.700000 -0.850000 0.850000,3.350000 -1.675000 1.675000,5.000000 -2.500000 2.500000,6.650000 -3.325000 3.325000,8.300000 -4.150000 4.150000,9.950000 -4.975000 4.975000,
0.050000 -0.012500 -0.025000,1.800000 -0.450000 -0.900000,3.550000 -0.887500 -1.775000,5.300000 -1.325000 -2.650000,7.050000 -1.762500 -3.525000,8.800000 -2.200000 -4.400000,
0.050000 -0.012500 -0.012500,1.950000 -0.487500 -0.487500,3.850000 -0.962500 -0.962500,5.750000 -1.437500 -1.437500,7.650000 -1.912500 -1.912500,9.550000 -2.387500 -2.387500,
0.050000 -0.012500 0.000000,2.000000 -0.500000 0.000000,3.950000 -0.987500 0.000000,5.900000 -1.475000 0.000000,7.850000 -1.962500 0.000000,9.800000 -2.450000 0.000000,
0.050000 -0.012500 0.012500,1.950000 -0.487500 0.487500,3.850000 -0.962500 0.962500,5.750000 -1.437500 1.437500,7.650000 -1.912500 1.912500,9.550000 -2.387500 2.387500,
0.050000 -0.012500 0.025000,1.800000 -0.450000 0.900000,3.550000 -0.887500 1.775000,5.300000 -1.325000 2.650000,7.050000 -1.762500 3.525000,8.800000 -2.200000 4.400000,
0.050000 0.000000 -0.025000,1.850000 0.000000 -0.925000,3.650000 0.000000 -1.825000,5.450000 0.000000 -2.725000,7.250000 0.000000 -3.625000,9.050000 0.000000 -4.525000,
0.050000 0.000000 -0.012500,2.000000 0.000000 -0.500000,3.950000 0.000000 -0.987500,5.900000 0.000000 -1.475000,7.850000 0.000000 -1.962500,9.800000 0.000000 -2.450000,
0.050000 0.000000 0.000000,2.100000 0.000000 0.000000,4.150000 0.000000 0.000000,6.200000 0.000000 0.000000,8.250000 0.000000 0.000000,
0.050000 0.000000 0.012500,2.000000 0.000000 0.500000,3.950000 0.000000 0.987500,5.900000 0.000000 1.475000,7.850000 0.000000 1.962500,9.800000 0.000000 2.450000,
0.050000 0.000000 0.025000,1.850000 0.000000 0.925000,3.650000 0.000000 1.825000,5.450000 0.000000 2.725000,7.250000 0.000000 3.625000,9.050000 0.000000 4.525000,
0.050000 0.012500 -0.025000,1.800000 0.450000 -0.900000,3.550000 0.887500 -1.775000,5.300000 1.325000 -2.650000,7.050000 1.762500 -3.525000,8.800000 2.200000 -4.400000,
0.050000 0.012500 -0.012500,1.950000 0.487500 -0.487500,3.850000 0.962500 -0.962500,5.750000 1.437500 -1.437500,7.650000 1.912500 -1.912500,9.550000 2.387500 -2.387500,
0.050000 0.012500 0.000000,2.000000 0.500000 0.000000,3.950000 0.987500 0.000000,5.900000 1.475000 0.000000,7.850000 1.962500 0.000000,9.800000 2.450000 0.000000,
0.050000 0.012500 0.012500,1.950000 0.487500 0.487500,3.850000 0.962500 0.962500,5.750000 1.437500 1.437500,7.650000 1.912500 1.912500,9.550000 2.387500 2.387500,
0.050000 0.012500 0.025000,1.800000 0.450000 0.900000,3.550000 0.887500 1.775000,5.300000 1.325000 2.650000,7.050000 1.762500 3.525000,8.800000 2.200000 4.400000,
0.050000 0.025000 -0.025000,1.700000 0.850000 -0.850000,3.350000 1.675000 -1.675000,5.000000 2.500000 -2.500000,6.650000 3.325000 -3.325000,8.300000 4.150000 -4.150000,9.950000 4.975000 -4.975000,
0.050000 0.025000 -0.012500,1.800000 0.900000 -0.450000,3.550000 1.775000 -0.887500,5.300000 2.650000 -1.325000,7.050000 3.525000 -1.762500,8.800000 4.400000 -2.200000,
0.050000 0.025000 0.000000,1.850000 0.925000 0.000000,3.650000 1.825000 0.000000,5.450000 2.725000 0.000000,7.250000 3.625000 0.000000,9.050000 4.525000 0.000000,
0.050000 0.025000 0.012500,1.800000 0.900000 0.450000,3.550000 1.775000 0.887500,5.300000 2.650000 1.325000,7.050000 3.525000 1.762500,8.800000 4.400000 2.200000,
0.050000 0.025000 0.025000,1.700000 0.850000 0.850000,3.350000 1.675000 1.675000,5.000000 2.500000 2.500000,6.650000 3.325000 3.325000,8.300000 4.150000 4.150000,9.950000 4.975000 4.975000,
