0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,
0.025000 0.000000 -0.037500,0.325000 0.000000 -0.487500,0.625000 0.000000 -0.937500,0.925000 0.000000 -1.387500,1.225000 0.000000 -1.837500,1.525000 0.000000 -2.287500,1.825000 0.000000 -2.737500,2.125000 0.000000 -3.187500,2.425000 0.000000 -3.637500,2.775000 0.000000 -4.162500,
0.025000 0.000000 -0.025000,0.400000 0.000000 -0.400000,0.775000 0.000000 -0.775000,1.150000 0.000000 -1.150000,1.525000 0.000000 -1.525000,1.900000 0.000000 -1.900000,2.275000 0.000000 -2.275000,2.650000 0.000000 -2.650000,3.025000 0.000000 -3.025000,3.550000 0.000000 -3.550000,
0.025000 0.000000 -0.012500,0.475000 0.000000 -0.237500,0.925000 0.000000 -0.462500,1.375000 0.000000 -0.687500,1.825000 0.000000 -0.912500,2.275000 0.000000 -1.137500,2.725000 0.000000 -1.362500,3.175000 0.000000 -1.587500,3.625000 0.000000 -1.812500,4.475000 0.000000 -2.237500,
0.025000 0.000000 0.000000,0.525000 0.000000 0.000000,1.025000 0.000000 0.000000,1.525000 0.000000 0.000000,2.025000 0.000000 0.000000,2.525000 0.000000 0.000000,3.025000 0.000000 0.000000,3.525000 0.000000 0.000000,4.025000 0.000000 0.000000,5.000000 0.000000 0.000000,
0.025000 0.000000 0.012500,0.475000 0.000000 0.237500,0.925000 0.000000 0.462500,1.375000 0.000000 0.687500,1.825000 0.000000 0.912500,2.275000 0.000000 1.137500,2.725000 0.000000 1.362500,3.175000 0.000000 1.587500,3.625000 0.000000 1.812500,4.475000 0.000000 2.237500,
0.025000 0.000000 0.025000,0.400000 0.000000 0.400000,0.775000 0.000000 0.775000,1.150000 0.000000 1.150000,1.525000 0.000000 1.525000,1.900000 0.000000 1.900000,2.275000 0.000000 2.275000,2.650000 0.000000 2.650000,3.025000 0.000000 3.025000,3.550000 0.000000 3.550000,
0.025000 0.000000 0.037500,0.325000 0.000000 0.487500,0.625000 0.000000 0.937500,0.925000 0.000000 1.387500,1.225000 0.000000 1.837500,1.525000 0.000000 2.287500,1.825000 0.000000 2.737500,2.125000 0.000000 3.187500,2.425000 0.000000 3.637500,2.775000 0.000000 4.162500,
0.025000 0.000000 0.050000,0.250000 0.000000 0.500000,0.475000 0.000000 0.950000,0.700000 0.000000 1.400000,0.925000 0.000000 1.850000,1.150000 0.000000 2.300000,1.375000 0.000000 2.750000,1.600000 0.000000 3.200000,1.825000 0.000000 3.650000,2.250000 0.000000 4.500000,
0.025000 0.012500 -0.050000,0.250000 0.125000 -0.500000,0.475000 0.237500 -0.950000,0.700000 0.350000 -1.400000,0.925000 0.462500 -1.850000,1.150000 0.575000 -2.300000,1.375000 0.687500 -2.750000,1.600000 0.800000 -3.200000,1.825000 0.912500 -3.650000,2.200000 1.100000 -4.400000,
0.025000 0.012500 -0.037500,0.300000 0.150000 -0.450000,0.575000 0.287500 -0.862500,0.850000 0.425000 -1.275000,1.125000 0.562500 -1.687500,1.400000 0.700000 -2.100000,1.675000 0.837500 -2.512500,1.950000 0.975000 -2.925000,2.225000 1.112500 -3.337500,2.675000 1.337500 -4.012500,
0.025000 0.012500 -0.025000,0.375000 0.187500 -0.375000,0.725000 0.362500 -0.725000,1.075000 0.537500 -1.075000,1.425000 0.712500 -1.425000,1.775000 0.887500 -1.775000,2.125000 1.062500 -2.125000,2.475000 1.237500 -2.475000,2.825000 1.412500 -2.825000,3.350000 1.675000 -3.350000,
